구분	품명	규격	단위	소요량					비고												
				"시멘트
(TON)"	"시멘트
(포)"	"레미탈
(TON)"	"레미탈
(포)"	모래													
방수	액체방수		M2		0.336			0.02													
	보호몰탈	"바닥,30T"	M2		0.3413			0.0273													
		"벽,18T"	M2		0.2048			0.0164													
	방수몰탈	20T	M2		0.22753			0.0182													
견출	콘크리트면처리		M2				0.03575														0.075
조적	시멘트벽돌쌓기	0.5B	M2				0.9023														
		1.0B	M2				2.3663														
	시멘트벽돌세워쌓기	0.5B	M2				0.5715														
	"시멘트블럭보강쌓기
(1종사춤)"	"4""일면치장"	M2				0.3331														
		"4""양면치장"	M2				0.3774														
		"6""일면치장"	M2				0.4774														
		"6""양면치장"	M2				0.5217														
		"8""일면치장"	M2				0.5256														
		"8""양면치장"	M2				0.5699														
미장	방바닥미장	30T	M2			0.05775															
		40T	M2			0.077						0.001925	0.1155	0.231	0.3465	0.375375	0.259875				
	시멘트몰탈	"바닥,30T"	M2				1.4438														
		"바닥,50T"	M2				2.4063														
		"바닥,120T"	M2				5.7752														
		"바닥,170T"	M2				8.1815														
		"벽초벌,9T"	M2				0.4332														
		"내벽,18T"	M2				0.8663														
		"외벽,24T"	M2				1.155														
	계단마구리미장	W:150~300	M				0.5969														
	걸레받이몰탈	H:100	M				0.08663														
	E/V주위사춤및미장	몰탈사춤	M				0.2653														
	"창틀,문틀주위사춤"	몰탈사춤	M				0.2653														
	경량기포콘크리트	30T	M3	0.255																	
		40T	M3	0.34																	
타일	벽타일붙이기	떠붙이기	M2				0.7219														
	타일바탕몰탈	"내벽,15T"	M2				0.7219						0.135								
석	지정석재(바닥)	몰탈20T	M2		0.2678			0.0231													
		몰탈70T	M2		0.9371			0.0809													
	지정석재(디딤판)	W300/몰탈20T	M		0.0803			0.0069		0.01339	0.001155	가로	세로	몰탈T	시멘트	모래					
	지정석재(챌판)	몰탈20T	M2		0.2678			0.0231				1.35	0.14	30	0.076	0.0065					
												1.4	0.14	30	0.0788	0.0068					
												 1.6 	0.14	30	0.09	0.0078					
												1.4	0.14	30	0.0788	0.0068					
												0.8	0.14	30	0.045	0.0039					
												1.4	0.14	30	0.0788	0.0068					
												1.6	0.125	30	0.0804	0.0069					
												1.05	0.1	30	0.0422	0.0036					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
